"PersonId","ManagerId","Department"
"HadarC@M365CPI67867233.OnMicrosoft.com","LisaT@M365CPI67867233.OnMicrosoft.com",
"RobinK@M365CPI67867233.OnMicrosoft.com","TeresaS@M365CPI67867233.OnMicrosoft.com",
"CoreyG@M365CPI67867233.OnMicrosoft.com","DaichiM@M365CPI67867233.OnMicrosoft.com",
"AdilE@M365CPI67867233.OnMicrosoft.com","WillB@M365CPI67867233.OnMicrosoft.com",
"MalloryC@M365CPI67867233.OnMicrosoft.com","SydneyM@M365CPI67867233.OnMicrosoft.com",
"MarioR@M365CPI67867233.OnMicrosoft.com","AmberR@M365CPI67867233.OnMicrosoft.com",
"RonakG@M365CPI67867233.OnMicrosoft.com","MonicaT@M365CPI67867233.OnMicrosoft.com",
"SoniaR@M365CPI67867233.OnMicrosoft.com","LisaT@M365CPI67867233.OnMicrosoft.com",
"LisaT@M365CPI67867233.OnMicrosoft.com","AmberR@M365CPI67867233.OnMicrosoft.com",
"CoraT@M365CPI67867233.OnMicrosoft.com","SashaO@M365CPI67867233.OnMicrosoft.com",
"VanceD@M365CPI67867233.OnMicrosoft.com","HadarC@M365CPI67867233.OnMicrosoft.com",
"deant@deancron.com",,
"jacob@deancron.com",,
"OmarB@M365CPI67867233.OnMicrosoft.com","LisaT@M365CPI67867233.OnMicrosoft.com",
"PeytonD@M365CPI67867233.OnMicrosoft.com","TeresaS@M365CPI67867233.OnMicrosoft.com",
"MonicaT@M365CPI67867233.OnMicrosoft.com","MarioR@M365CPI67867233.OnMicrosoft.com",
"QuinnC@M365CPI67867233.OnMicrosoft.com","HadarC@M365CPI67867233.OnMicrosoft.com",
"SydneyM@M365CPI67867233.OnMicrosoft.com","AmberR@M365CPI67867233.OnMicrosoft.com",
"dean@deancron.com",,
"TeresaS@M365CPI67867233.OnMicrosoft.com","MarioR@M365CPI67867233.OnMicrosoft.com",
"AmberR@M365CPI67867233.OnMicrosoft.com","dean@deancron.com","CEO"
"DakotaS@M365CPI67867233.OnMicrosoft.com","DaichiM@M365CPI67867233.OnMicrosoft.com",
"EkaS@M365CPI67867233.OnMicrosoft.com","MonicaT@M365CPI67867233.OnMicrosoft.com",
"WillB@M365CPI67867233.OnMicrosoft.com","LisaT@M365CPI67867233.OnMicrosoft.com",
"KaiC@M365CPI67867233.OnMicrosoft.com","OmarB@M365CPI67867233.OnMicrosoft.com",
"admin@M365CPI67867233.onmicrosoft.com",,
"DaichiM@M365CPI67867233.OnMicrosoft.com","SydneyM@M365CPI67867233.OnMicrosoft.com",
"SashaO@M365CPI67867233.OnMicrosoft.com","SydneyM@M365CPI67867233.OnMicrosoft.com",
